Name,Latitude,Longitude,Elevation
SIDBY,37.450711,-122.144722,25
EDDYY(2),37.326444,-122.099722,958.8
EDDYY(3),37.374903,-122.119028,206.5
NARWL,37.274781,-122.079306,778
OBS_1,36.967737,-121.959109,49.2
OBS_2,37.115215,-122.016728,738.2
BRINY,37.304761,-122.661656,0
ARGGG,37.392422,-122.281631,2183.3
PIRAT,37.25765,-122.863353,0
FRELY,37.510053,-121.795325,1339
CEDES,37.55082,-121.6246,3110.2
FLOWZ,37.592519,-121.26475,95
ARCHI,37.490806,-121.875556,2146.5
LOZIT,37.899325,-122.673194,0
BDEGA,37.823025,-122.5922,0
CORKK,37.733589,-122.49755,52.5
BRIXX,37.617844,-122.374528,6.6