Route Name,Waypoint,track_min,track_max,alt_min,alt_max,ground_speed_min,ground_speed_max,vrate_min,vrate_max,ground_distance_min,ground_distance_max
SERFR,SIDBY,300,355,3000,6000,200,275,-2000,-100,0,0.125
SERFR,EDDYY(3),320,346,4500,8400,70,265,-2176,0,0,0.5
SERFR,EDDYY(2),320,346,5700,8400,105,401,-2053,-457,0,0.5
SERFR,NARWL,320,346,7000,10001,196,387,-2112,-181,0,2
SERFR,OBS_2,280,353,8300,12100,200,372,-2032,-400,0,5
SERFR,OBS_1,338,351,10000,15215,324,390,-2700,0,0,5
PIRAT2,BRINY,45,75,0,12000,0,400,-1700,-300,0,2
PIRAT2,ARGGG,45,75,5000,9000,0,400,-2500,0,0,0.3
PIRAT2,PIRAT,45,75,10000,13501,0,400,-1501,0,0,1
DYAMD5,FLOWZ,244,262,10001,15000,0,400,-2240,-1100,0,1
DYAMD5,CEDES,240,262,9000,12001,0,400,-3000,-390,0,1
DYAMD5,FRELY,235,252,7000,15000,0,270,-2240,0,0,0.4
DYAMD5,ARCHI,235,269,0,7800,0,400,-2600,0,0,0.15
BDEGA3,LOZIT,120,170,4300,16000,250,400,-2900,0,0,1
BDEGA3,BDEGA,130,170,6100,14000,0,400,-2900,0,0,1
BDEGA3,CORKK,120,170,3600,11000,0,400,-3000,0,0,0.35
BDEGA3,BRIXX,120,160,0,11000,0,400,-4000,-100,0,0.15